Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2017-12-15,91.74,94.06,90.9,93.17,1228616.0,,
2017-12-14,88.35,90.65,88.35,89.31,609024.0,,
2017-12-13,87.54,89.23,87.36,88.48,296605.0,,
2017-12-12,87.37,87.87,86.79,87.82,356485.0,,
2017-12-11,87.05,87.5,86.34,86.77,367014.0,,
2017-12-08,86.06,86.82,85.02,86.7,349567.0,,
2017-12-07,86.27,86.81,85.43,85.93,518364.0,,
2017-12-06,86.2,86.78,85.37,85.99,425280.0,,
2017-12-05,87.49,87.5,85.11,85.89,521212.0,,
2017-12-04,85.73,88.2,85.73,87.42,623700.0,,
2017-12-01,83.98,85.25,81.38,84.95,441654.0,,
2017-11-30,85.0,86.07,83.98,84.82,471081.0,,
2017-11-29,83.56,85.57,83.28,84.66,498724.0,,
2017-11-28,81.4,83.18,80.67,83.15,341345.0,,
2017-11-27,81.07,81.78,80.66,81.12,330578.0,,
2017-11-24,81.9,81.9,80.24,81.23,157004.0,,
2017-11-23,81.4,81.4,81.4,81.4,0.0,,
2017-11-22,79.93,81.94,79.75,81.4,643934.0,,
2017-11-21,77.96,79.57,77.58,79.46,310431.0,,
2017-11-20,78.3,78.75,76.48,77.46,460137.0,,
2017-11-17,79.65,79.81,77.59,78.84,565124.0,0.995268,17.0
2017-11-16,77.352255,80.328107,77.063627,79.93,687404.0,,
2017-11-15,74.963611,77.292539,74.386355,77.163154,551311.0,,
2017-11-14,74.744652,75.073091,74.127586,75.043232,454343.0,,
2017-11-13,74.336592,76.635662,74.008153,75.043232,543352.0,,
2017-11-10,74.694889,76.297271,73.878769,74.645125,413887.0,,
2017-11-09,74.714794,76.157933,74.595362,74.913848,294791.0,,
2017-11-08,74.51574,75.048209,73.002932,74.655078,401722.0,,
2017-11-07,74.565504,75.321908,74.227112,74.555551,289064.0,,
2017-11-06,74.446071,74.595362,72.863595,74.505788,723604.0,,
2017-11-03,73.201986,74.943706,72.973074,74.446071,603014.0,,
2017-11-02,76.655567,78.55653,71.559793,72.8835,811450.0,,
2017-11-01,77.113391,77.113391,75.948927,76.25746,450694.0,,
2017-10-31,76.486372,78.546577,75.122854,76.585898,599412.0,,
2017-10-30,75.650346,77.37216,75.650346,76.565993,361157.0,,
2017-10-27,78.218138,78.397287,75.411482,76.018595,687532.0,,
2017-10-26,83.60254,85.394023,77.103438,78.397287,871232.0,,
2017-10-25,81.612003,82.11959,81.024795,81.830963,361352.0,,
2017-10-24,82.298739,82.298739,80.268391,81.462713,278799.0,,
